name,set_name,border_color,mana_cost,type_line,oracle_text,power,toughness,loyalty,collector_number,watermark,usd,eur
Cardboard Carapace,Unglued,silver,{5}{G},Enchantment — Aura,"Enchant creature\nFor each other card named Cardboard Carapace you have with you outside the game, enchanted creature gets +1/+1",,,,54,,1.77,1.35
Novellamental,Unstable,silver,{1}{U},Creature — Elemental,Flying\nNovellamental can block only creatures with flying,2,1,,41a,,0.1,0.1
Moniker Mage,Unhinged,silver,{2}{U},Creature — Human Wizard,"{U}, Say your middle name: Moniker Mage gains shroud until end of turn.\n{U}, Say an opponent's middle name: Moniker Mage gains flying until end of turn",2,2,,39,,0.09,0.32
The Grand Calcutron,The List (Unfinity Foil Edition),silver,{W}{U},Legendary Artifact,"The Grand Calcutron can be your commander.\nWhen The Grand Calcutron enters the battlefield, each player's hand becomes a program (an ordered row of revealed cards).\nPlayers can only play the first card of their program.\nIf a card would be put into a player's hand from anywhere, that player reveals it and places it anywhere within their program instead.\nAt the beginning of each player's end step, if that player's program has fewer than five cards, they draw cards equal to the differe",,,,47,orderofthewidget,,
GO TO JAIL,Unstable,silver,{W},Enchantment,"When GO TO JAIL enters the battlefield, exile target creature an opponent controls until GO TO JAIL leaves the battlefield.\nAt the beginning of the upkeep of the exiled card's owner, that player rolls two six-sided dice. If they roll doubles, sacrifice GO TO JAIL",,,,8,,0.09,0.05
Insufferable Syphon,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Insufferable Syphon, target player discards a card.",,,,191,agentsofsneak,0.18,0.13
Humming-,Unstable,silver,"",Creature — Bird,"Flying\nWhenever you attack with two or more creatures,\nAugment {3}{W} ({3}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery",+2,+3,,10,,0.08,0.09
Faerie Aerie,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Faerie Aerie, create two 1/1 blue Faerie Spy creature tokens with flying, haste, and \""Whenever this creature deals combat damage to a player, draw a card.\"" Exile them at the beginning of the next end ste",,,,181,agentsofsneak,0.37,0.48
Do-It-Yourself Seraph,The List (Unfinity Foil Edition),silver,{4}{W}{W},Artifact Creature — Cyborg Angel,"Flying\nWhenever Do-It-Yourself Seraph attacks, you may search your library for an artifact card, exile it, then shuffle.\nDo-It-Yourself Seraph has the text box of each card exiled with Do-It-Yourself Seraph in addition to its ow",4,4,,2,orderofthewidget,,
Monkey Monkey Monkey,Unhinged,silver,{3}{G},Creature — Monkey,"As Monkey Monkey Monkey enters the battlefield, choose a letter.\nMonkey Monkey Monkey gets +1/+1 for each nonland permanent whose name begins with the chosen letter",1,1,,104★,flavor,,
Handcuffs,Unglued,silver,{3}{B}{B},Enchantment,"As Handcuffs enters the battlefield, choose a player.\nWhen the chosen player's hands aren't touching each other, sacrifice Handcuffs and that player sacrifices three permanents",,,,32,,0.37,0.3
"Richard Garfield, Ph.D.",Unhinged,silver,{3}{U}{U},Legendary Creature — Human Designer,You may play cards as though they were other cards of your choice with the same mana cost. You can't choose the same card twice. (Mana cost includes color.),2,2,,44,,4.62,2.67
Smart Ass,Unhinged,silver,{2}{U},Creature — Donkey Wizard,"Whenever Smart Ass attacks, choose a card name. If defending player has no cards with the chosen name in their hand, they may reveal their hand. If they don't reveal their hand, Smart Ass can't be blocked this turn.",2.5,1,,45,,0.19,0.1
Rare-B-Gone,Unhinged,silver,{2}{B}{R},Sorcery,"Each player sacrifices all permanents that are rare or mythic rare, then each player reveals their hand and discards all cards that are rare or mythic rare.",,,,119,,1.38,0.84
Split Screen,The List (Unfinity Foil Edition),silver,{4},Artifact,"When Split Screen enters the battlefield, shuffle your library and deal it into four libraries. If anything refers to your library, choose one of your libraries for it.\nPlay with your libraries' top cards revealed.\nWhen Split Screen leaves the battlefield, shuffle your libraries togethe",,,,60,agentsofsneak,,
Ass Whuppin',Unhinged Promos,silver,{1}{W}{B},Sorcery,Destroy target silver-bordered or acorn permanent in any game you can see from your seat.,,,,117★,set,,
Contraption Cannon,Unstable,silver,{4},Artifact,"{2}, Sacrifice Contraption Cannon: It deals damage to any target equal to the number of Contraptions you control.",,,,144,leagueofdastardlydoom,0.1,0.09
Booster Tutor,Unsanctioned,silver,{B},Instant,"Open a sealed Magic booster pack, reveal the cards, and put one of them into your hand. (Remove that card from your deck before beginning a new game.)",,,,33,,0.32,0.09
Old Fogey,The List (Unfinity Foil Edition),silver,{G}{G},Summon — Dinosaur,"Phasing, cumulative upkeep {1}, echo {G}{G}, fading 3, bands with other Dinosaurs, protection from Homarids, snow-covered plainswalk, flanking, rampage 2",7,7,,39,,,
Standing Army,Unhinged,silver,{2}{W}{W},Creature — Human Soldier,"As long as you're standing, Standing Army has vigilance.",2,4,,20★,,,
Goblin Haberdasher,Unsanctioned,silver,{2}{R},Creature — Goblin Hatificer,Menace (This creature can't be blocked except by two or more creatures.)\nOther creatures you control wearing hats in their art have menace,2,2,,51,,0.11,0.19
Island,Unhinged,black,"",Basic Land — Island,({T}: Add {U}.),,,,137,,6.71,5.87
Genetic Recombinator,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Genetic Recombinator, up to two target creatures each get +2/+2 until end of turn.",,,,182,crossbreedlabs,0.18,0.12
Ordinary Pony,Unstable,silver,{2}{W},Host Creature — Horse,"When this creature enters the battlefield, you may exile target non-Horse creature you control that wasn't put onto the battlefield with this ability this turn, then return it to the battlefield under its owner's control.",2,3,,17,,0.11,0.02
Standing Army,Unhinged,silver,{2}{W}{W},Creature — Human Soldier,"As long as you're standing, Standing Army has vigilance.",2,4,,20,,0.08,0.1
Do-It-Yourself Seraph,Unstable,silver,{4}{W}{W},Artifact Creature — Cyborg Angel,"Flying\nWhenever Do-It-Yourself Seraph attacks, you may search your library for an artifact card, exile it, then shuffle.\nDo-It-Yourself Seraph has the text box of each card exiled with Do-It-Yourself Seraph in addition to its ow",4,4,,6,orderofthewidget,0.43,0.64
Spy Eye,Unstable,silver,{2}{U}{U},Creature — Eye Spy,"Flying\nWhenever Spy Eye deals combat damage to a player, you may draw a card from that player's library",1,3,,46,agentsofsneak,0.13,0.11
Artful Looter,Unhinged,silver,{2}{U},Creature — Human Wizard,"{T}: Draw a card, then discard a card.\nWhenever a permanent that shares an artist with another permanent you control enters the battlefield, untap Artful Looter",1,2,,25,,0.13,0.1
Aesthetic Consultation,Unhinged,silver,{B},Instant,"Choose an artist. Exile the top six cards of your library, then reveal cards from the top of your library until you reveal a card with art by the chosen artist. Put that card in your hand and exile all other cards revealed this way.",,,,48★,flavor,,
Faerie Spy,Unstable Tokens,silver,"",Token Creature — Faerie Spy,"Flying, haste\nWhenever this creature deals combat damage to a player, draw a card",1,1,,4,agentsofsneak,,
Goblin S.W.A.T. Team,Unsanctioned,silver,{3}{R},Creature — Goblin Warrior,"Say \""Goblin S.W.A.T. Team\"": Put a +1/+1 counter on Goblin S.W.A.T. Team unless an opponent swats the table within five seconds. Activate only once each tur",2,2,,52,,0.1,0.17
Island,Unstable,borderless,"",Basic Land — Island,({T}: Add {U}.),,,,213,,3.27,2.0
Magic Word,Unsanctioned,silver,{2}{U},Enchantment — Aura,"Enchant creature\nAs Magic Word enters the battlefield, choose a word.\nWhisper the chosen word: Tap enchanted creatur",,,,24,agentsofsneak,0.1,0.12
Widget Contraption,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Widget Contraption, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",,,,211,orderofthewidget,0.16,0.07
Plains,Unsanctioned,black,"",Basic Land — Plains,({T}: Add {W}.),,,,87,,0.48,0.09
Very Cryptic Command,Unstable,silver,{1}{U}{U}{U},Instant,"Choose two —\n• Return target permanent to its controller's hand.\n• Draw two cards, then discard a card.\n• Change the target of target spell with a single target.\n• Turn over target nontoken creat",,,,49d,,1.64,1.5
Denied!,Unglued,silver,{U},Instant,"Choose a card name, then target spell's controller reveals their hand. If a card with the chosen name is revealed this way, counter that spell.",,,,22,,0.18,0.02
Forest,Unsanctioned,black,"",Basic Land — Forest,({T}: Add {G}.),,,,96,,1.52,2.48
Steady-Handed Mook,Unstable,silver,{2}{B},Creature — Human Rigger,"Deathtouch\nWhen Steady-Handed Mook enters the battlefield, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.",1,1,,71,leagueofdastardlydoom,0.08,0.04
Creature Guy,Unhinged,silver,{3}{G},Creature — Beast,"Gotcha — If an opponent says \""creature\"" or \""guy,\"" you may say \""Gotcha!\"" When you do, return Creature Guy from your graveyard to your",3,3,,93,,0.23,0.27
Hypnotic Swirly Disc,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Hypnotic Swirly Disc, target player mills X cards, where X is the number of creatures you control.",,,,189,agentsofsneak,0.15,0.25
Sorry,Unglued,silver,{U}{U},Enchantment,"Before any player casts a spell with the same name as a card in any graveyard, that player may say \""sorry.\"" If they don't, any other player may say \""sorry\"" as the spell is being cast. When another player says \""sorry\"" this way, counter the spell.\nWhenever a player says \""sorry\"" at any other time, Sorry deals 2 damage to tha",,,,27,,0.25,0.39
Clocknapper,Unstable,silver,{3}{U}{U},Creature — Human Spy,"When Clocknapper enters the battlefield, choose beginning phase, precombat main phase, combat phase, postcombat main phase, or ending phase. Steal that phase from target player during their next turn. (That phase occurs as though it's your turn instead.)",2,2,,29,agentsofsneak,0.2,0.25
"Look at Me, I'm the DCI",Unglued,silver,{5}{W}{W},Sorcery,Ban a card other than a basic land card for the rest of the match. (All cards with that name in any zone or sideboard are removed from the match.),,,,8,,0.88,1.58
Clever Combo,Unstable,silver,{1}{G},Sorcery,"Search your library for a host card or a card with augment, reveal it, put it into your hand, then shuffle.",,,,105,crossbreedlabs,0.15,0.07
First Pick,Unstable,silver,{3}{G},Instant,Destroy target artifact or enchantment. Assemble a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.),,,,109,crossbreedlabs,0.16,0.19
Staff of the Letter Magus,Unstable,silver,{3},Artifact,"As Staff of the Letter Magus enters the battlefield, choose a consonant other than N, R, S, or T.\nWhenever a player casts a spell, you gain 1 life for each time the chosen letter appears in that spell's name",,,,159,,0.13,0.19
Secret Base,Unstable,silver,"",Land,{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a spell that shares a watermark with Secret Base,,,,165b,agentsofsneak,0.16,0.06
Dirty Rat,Unsanctioned,silver,{1}{B},Host Creature — Rat,"When this creature enters the battlefield, target opponent discards a card.",1,1,,34,,0.08,0.12
Ghazbán Ogress,Unglued,silver,{G},Creature — Ogre,"When Ghazbán Ogress enters the battlefield, if one player has won more Magic games that day than any other player, that player gains control of Ghazbán Ogress.",2,2,,60,,0.25,0.29
Burning Cinder Fury of Crimson Chaos Fire,Unglued,silver,{3}{R},Enchantment,"Whenever any player taps a permanent, that player chooses one of their opponents. The chosen player gains control of that permanent at the beginning of the next end step.\nAt the beginning of each player's end step, if that player didn't tap any nonland permanents that turn, Burning Cinder Fury of Crimson Chaos Fire deals 3 damage to that player",,,,40,,0.65,0.92
Jack-in-the-Mox,Unglued,silver,{0},Artifact,{T}: Roll a six-sided die. This ability has the indicated effect.\n1 — Sacrifice Jack-in-the-Mox and you lose 5 life.\n2 — Add {W}.\n3 — Add {U}.\n4 — Add {B}.\n5 — Add {R}.\n6 — Ad,,,,75,,3.45,1.0
Everythingamajig,The List (Unfinity Foil Edition),silver,{5},Artifact,"{2}, {T}: Move a counter from one permanent onto another. If the second permanent refers to any kind of counter, the moved counter becomes one of those counters. Otherwise, it becomes a +1/+1 counter.\n{3}, {T}: Put a +1/+1 counter on target creature.\n{4}, {T}: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there",,,,55,,,
Construct,Unstable Tokens,silver,"",Token Artifact Creature — Construct,"",*,*,,19,,,
Baron Von Count,Unstable,silver,{1}{B}{R},Legendary Creature — Human Villain,"Baron Von Count enters the battlefield with a doom counter on \""5.\""\nWhenever you cast a spell with the indicated numeral in its mana cost, text box, power, or toughness, move the doom counter one numeral to the left.\nWhen the doom counter moves from \""1,\"" destroy target player and put that doom counter o",3,3,,127,leagueofdastardlydoom,0.58,0.8
Forest,Unhinged,black,"",Basic Land — Forest,({T}: Add {G}.),,,,140,,7.46,3.0
Blurry Beeble,Unstable,silver,{U},Artifact Creature — Cyborg Beeble,"Blurry (This creature can be blocked only if defending player was wearing glasses as it was cast.)\nWhenever Blurry Beeble deals combat damage to a player, you may draw a card. If you do, discard a card",1,1,,27,orderofthewidget,0.08,0.19
Land Aid '04,Unhinged,silver,{G}{G},Sorcery,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle. If you sang a song the whole time you were searching and shuffling, you may untap that land.",,,,102,,0.22,0.09
Swamp,Unsanctioned,black,"",Basic Land — Swamp,({T}: Add {B}.),,,,92,,1.58,2.74
Alexander Clamilton,The List (Unfinity Foil Edition),silver,{2}{U},Legendary Creature — Clamfolk Advisor Rebel,"Whenever you cast a wordy spell, scry 2. (A spell is wordy if it has four or more lines of rules text.)\n{1}{R}, {T}: Choose target creature you don't control. Reveal the top card of your library. Alexander Clamilton gets +X/+0 until end of turn, where X is the number of lines of rules text of the revealed card. Alexander Clamilton fights that creature",0,4,,10,,,
Clocknapper,The List (Unfinity Foil Edition),silver,{3}{U}{U},Creature — Human Spy,"When Clocknapper enters the battlefield, choose beginning phase, precombat main phase, combat phase, postcombat main phase, or ending phase. Steal that phase from target player during their next turn. (That phase occurs as though it's your turn instead.)",2,2,,14,agentsofsneak,,
Novellamental,Unstable,silver,{1}{U},Creature — Elemental,Flying\nNovellamental can block only creatures with flying,2,1,,41d,,0.11,0.1
Clam Session,Unglued,silver,{1}{U}{U},Creature — Clamfolk,"As Clam Session enters the battlefield, choose a word.\nAt the beginning of your upkeep, you may sing at least six words of a song, at least one of which is the chosen word. If you don't, sacrifice Clam Session. You can't repeat a song",2,5,,20,,0.21,0.02
Crafty Octopus,Unstable,silver,{2}{U},Host Creature — Octopus Rigger,"When this creature enters the battlefield, this creature assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",1,3,,30,,0.05,0.05
Giant Fan,Unglued,silver,{4},Artifact,"{2}, {T}: Move a counter from one permanent onto another. If the second permanent refers to any kind of counter, the moved counter becomes one of those counters. Otherwise, it becomes a +1/+1 counter.",,,,74,,0.75,1.17
Flock of Rabid Sheep,Unglued,silver,{X}{G}{G},Sorcery,"Flip X coins. For each flip you win, create a 2/2 green Sheep creature token named Rabid Sheep.",,,,57,,0.24,0.99
Bursting Beebles,Unhinged,silver,{2}{U},Creature — Beeble,Bursting Beebles can't be blocked as long as defending player controls two or more nonland permanents that share an artist.,2,2,,28,,0.17,0.1
Plains,Unhinged,black,"",Basic Land — Plains,({T}: Add {W}.),,,,136,,4.32,2.0
S.N.E.A.K. Dispatcher,Unstable,silver,{1}{U},Creature — Human Spy,"{2}{U}, {T}: Look at the top card of target player's library. If it has an Agents of S.N.E.A.K. watermark, you may reveal it and put it into your hand. Otherwise, put it on the top or bottom of its owner's library.",2,1,,43,agentsofsneak,0.07,0.09
Dogsnail Engine,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Dogsnail Engine, target player gains life equal to the greatest power among creatures you control.",,,,178,crossbreedlabs,0.19,0.15
Enraged Killbot,Unstable,silver,{2},Artifact Creature — Killbot,"",2,1,,145d,leagueofdastardlydoom,0.16,0.19
Target Minotaur,Unstable,silver,{1}{R},Creature — Minotaur Warrior,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",2,1,,98d,,0.15,0.15
Letter Bomb,Unhinged,silver,{6},Artifact,"When Letter Bomb enters the battlefield, sign it and shuffle it into target player's library. That player reveals each card they draw until they draw Letter Bomb. When that player draws Letter Bomb, it deals 19½ damage to them.",,,,122,,3.0,0.78
"Infernius Spawnington III, Esq.",The List (Unfinity Foil Edition),silver,{10}{B},Creature — Demon Beast Grandchild,"Flying, first strike, trample, haste\nThis spell costs {3} less to cast for each card you've revealed this turn.\nWhen Infernius Spawnington III, Esq. enters the battlefield, you may say \""I'm here.\"" If you do, it deals 3 damage to target pla",9,9,,21,,,
Bronze Calendar,Unglued,silver,{4},Artifact,"Spells you cast cost {1} less to cast.\nYou must speak in a voice other than your normal voice.\nWhen you speak in your normal voice, sacrifice Bronze Calenda",,,,71,,0.27,0.45
When Fluffy Bunnies Attack,Unhinged,silver,{3}{B},Instant,"Target creature gets -X/-X until end of turn, where X is the number of times the letter of your choice appears in that creature's name.",,,,67★,flavor,,
Goblin Secret Agent,Unhinged,silver,{2}{R},Creature — Goblin Rogue,"First strike\nAt the beginning of your upkeep, reveal a card from your hand at random",2,2,,79,,0.16,0.05
Form of the Squirrel,Unhinged,silver,{G},Enchantment,"As Form of the Squirrel enters the battlefield, create a 1/1 green Squirrel creature token. You lose the game when that creature leaves the battlefield.\nCreatures can't attack you.\nYou have shroud.\nYou can't cast spel",,,,96,,6.56,1.2
Plains,Unsanctioned,black,"",Basic Land — Plains,({T}: Add {W}.),,,,88,,1.05,2.46
Fowl Play,Unglued,silver,{2}{U},Enchantment — Aura,Enchant creature\nEnchanted creature loses all abilities and is a Bird creature with base power and toughness 1/1,,,,24,,0.18,0.29
Goblin Tutor,Unglued,silver,{R},Instant,"Roll a six-sided die. If you roll a 1, Goblin Tutor has no effect. Otherwise, search your library for the indicated card, reveal it, put it into your hand, then shuffle.\n2 — A card named Goblin Tutor\n3 — An enchantment\n4 — An artifact\n5 — A creature\n6 — An instant or so",,,,45,,0.58,1.13
Sundering Fork,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Sundering Fork, destroy target artifact.",,,,204,leagueofdastardlydoom,0.23,0.19
Water Gun Balloon Game,Unsanctioned,silver,{2},Artifact,"As Water Gun Balloon Game enters the battlefield, each player puts a pop! counter on \""0.\""\nWhenever a player casts a spell, move that player's pop! counter up one.\nWhenever a player's pop! counter hits \""5,\"" that player creates a 5/5 pink Giant Teddy Bear creature token and resets all pop! counters t",,,,85,,0.17,0.08
Skull Saucer,Unstable,silver,{4}{B}{B},Creature — Zombie Head,"Flying\nWhen Skull Saucer enters the battlefield, destroy target creature and put your head on the table. Sacrifice Skull Saucer when your head stops touching the table",4,1,,66,leagueofdastardlydoom,0.11,0.03
Yet Another Aether Vortex,The List (Unfinity Foil Edition),silver,{3}{R}{R},Enchantment,"All creatures have haste.\nPlayers play with the top card of their libraries revealed.\nNoninstant, nonsorcery cards on top of a library are on the battlefield under their owner's control in addition to being in that librar",,,,32,,,
Steamflogger Service Rep,Unstable,silver,{2}{G},Creature — Goblin Rigger,"Whenever another Goblin enters the battlefield under your control, you may pay {1}. If you do, Steamflogger Service Rep assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",1,1,,124,goblinexplosioneers,0.11,0.1
Adorable Kitten,Unstable,silver,{W},Host Creature — Cat,"When this creature enters the battlefield, roll a six-sided die. You gain life equal to the result.",1,1,,1,,0.14,0.05
Get a Life,Unglued,silver,{W},Instant,Target player and each of that player's teammates exchange life totals.,,,,4,,0.23,0.18
Sheep,Unglued Tokens,silver,"",Token Creature — Sheep,"",2,2,,5,,1.66,
Growth Spurt,Unglued,silver,{1}{G},Instant,"Roll a six-sided die. Target creature gets +X/+X until end of turn, where X is the result.",,,,61,,0.13,0.49
Gnomeball Machine,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Gnomeball Machine, create two 1/1 colorless Gnome artifact creature tokens.",,,,184,orderofthewidget,0.21,0.15
Hoisted Hireling,Unsanctioned,silver,{2}{B},Creature — Zombie,Hoisted Hireling has flying as long as it's being held above the battlefield.,2,1,,37,,0.14,0.19
Auto-Key,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Auto-Key, until end of turn, target creature becomes an artifact in addition to its other types and gains \""{T}: You gain 3 life.",,,,170,orderofthewidget,0.08,0.09
Gleemax,Unhinged,silver,{1000000},Legendary Artifact,You choose all targets for all spells and abilities.,,,,121★,,,
Keeper of the Sacred Word,Unhinged,silver,{2}{G},Creature — Human Druid,"As Keeper of the Sacred Word enters the battlefield, choose a word.\nWhenever an opponent says the chosen word, Keeper of the Sacred Word gets +3/+3 until end of turn",2,3,,101★,,,
Very Cryptic Command,Unstable,silver,{1}{U}{U}{U},Instant,"Choose two —\n• Untap two target permanents.\n• Tap each permanent target player controls with exactly one word in its name.\n• Discard all the cards in your hand, then draw that many cards.\n• Return target instant or sorcery card from your graveyard to your h",,,,49b,,0.87,2.0
Mirror Mirror,Unglued,silver,{7},Artifact,"Mirror Mirror enters the battlefield tapped.\n{7}, {T}, Sacrifice Mirror Mirror: Choose target player. At the beginning of the next end step, exchange life totals with that player, exchange control of all permanents you and that player control, and exchange cards in your hands, cards in your libraries, and cards in your graveyards",,,,77,,1.01,1.48
Mary O'Kill,Unstable,silver,{5}{B/R},Legendary Creature — Human Villain,"{1}{B/R}: Switch a Killbot or Mary O'Kill in your hand with one on the battlefield. (If a creature is tapped, the switched creature is tapped. The same is true for untapped, attacking, blocking, enchanted, equipped, and targeted. Any counters on a creature are on the switched creature instead.)",5,5,,138,leagueofdastardlydoom,0.07,0.25
Flavor Judge,The List (Unfinity Foil Edition),silver,{1}{W},Creature — Bird Advisor,"{T}: Choose target spell or ability that targets a permanent you control. Then ask a person outside the game if the story of what will happen makes sense. If they say no, sacrifice Flavor Judge and counter that spell or ability.",2,2,,3,,,
Gnome-Made Engine,Unstable,silver,{4},Host Artifact Creature — Construct,"When this creature enters the battlefield, create a 1/1 colorless Gnome artifact creature token.",2,2,,148,,0.06,0.08
Snickering Squirrel,Unstable,silver,{B},Creature — Squirrel Advisor,You may tap Snickering Squirrel to increase the result of a die any player rolled by 1.,1,1,,68,leagueofdastardlydoom,0.13,0.03
B-I-N-G-O,Unsanctioned,silver,{1}{G},Creature — Dog,"Trample\nWhenever a player casts a spell, put a chip counter on its mana value.\nB-I-N-G-O gets +9/+9 for each set of three numbers in a row with chip counters on the",1,1,,61,,0.1,0.14
Garbage Elemental,Unstable,silver,{4}{R},Creature — Elemental,"Frenzy 2 (Whenever this creature attacks and isn't blocked, it gets +2/+0 until end of turn.)\nGarbage Elemental can't be blocked by wordy creatures. (A creature is wordy if it has four or more lines of rules text.",2,4,,82a,,0.28,0.27
Three-Headed Goblin,The List (Unfinity Foil Edition),silver,{3}{R}{R},Creature — Goblin Mutant,"Triple strike (This creature deals first-strike, regular, and last-strike combat damage.)",3,3,,31,goblinexplosioneers,,
Thopter // Thopter,Unstable Tokens,black,,Token Artifact Creature — Thopter // Token,,,,,6,,,
Very Cryptic Command,Unstable,silver,{1}{U}{U}{U},Instant,"Choose two —\n• Draw a card from an opponent's library.\n• Copy target instant or sorcery spell. You may choose new targets for the copy.\n• Until end of turn, target creature loses all abilities and becomes a blue Frog with base power and toughness 1/1.\n• Create a 1/1 colorless Gnome artifact creature to",,,,49c,,1.89,2.0
The Big Idea,Unstable,silver,{4}{R}{R},Legendary Creature — Brainiac Villain,"{2}{B/R}{B/R}, {T}: Roll a six-sided die. Create a number of 1/1 red Brainiac creature tokens equal to the result.\nTap three untapped Brainiacs you control: The next time you would roll a six-sided die, instead roll two six-sided dice and use the total of those results",4,4,,76,leagueofdastardlydoom,0.22,0.25
Bad Ass,Unhinged,silver,{2}{B}{B},Creature — Donkey Zombie,"{1}{B}, Growl: Regenerate Bad Ass.",3.5,1,,49★,,,
Ladies' Knight,Unhinged,silver,{3}{W},Creature — Human Knight,Flying\nSpells cast by players wearing at least one item of women's clothing cost {1} less to cast. (You can define women's clothing as you see fit. Be reasonable.,2,2,,15,,0.21,0.1
Hoisted Hireling,Unstable,silver,{2}{B},Creature — Zombie,Hoisted Hireling has flying as long as it's being held above the battlefield.,2,1,,58,leagueofdastardlydoom,0.07,0.02
Water Gun Balloon Game,Unhinged,silver,{2},Artifact,"As Water Gun Balloon Game enters the battlefield, each player puts a pop! counter on \""0.\""\nWhenever a player casts a spell, move that player's pop! counter up one.\nWhenever a player's pop! counter hits \""5,\"" that player creates a 5/5 pink Giant Teddy Bear creature token and resets all pop! counters t",,,,132,,1.18,0.23
Hard Hat Area,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Hard Hat Area, roll two six-sided dice. Hard Hat Area assembles a number of Contraptions equal to the difference between those results. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",,,,187,goblinexplosioneers,0.21,0.61
Mer Man,Unstable,silver,{4}{U},Host Creature — Human Fish,"When this creature enters the battlefield, you may draw a card.",3,3,,39,,0.05,0.03
Surgeon General Commander,The List (Unfinity Foil Edition),silver,{3}{G},Legendary Creature — Wombat Bat Chameleon,"Whenever you augment, enchant, or mutate a creature you control, draw a card.\n{T}: Add {W}, {U}, {B}, {R}, or {G}",3,3,,42,,,
Duh,Unsanctioned,silver,{B},Instant,Destroy target creature with reminder text. (Reminder text is any italicized text in parentheses that explains rules you already know.),,,,35,,0.13,0.02
